date,min_ft,max_ft,mean_ft
2023-01-01,0.18,2.21,1.2594166666666669
2023-01-02,-0.02,2.41,1.2244583333333332
2023-01-03,0.01,2.67,1.235125
2023-01-04,-0.2,2.89,1.2169999999999996
2023-01-05,-0.38,2.77,1.0692083333333333
2023-01-06,-0.39,2.86,1.1296666666666666
2023-01-07,-0.46,2.76,1.032416666666667
2023-01-08,-0.24,2.71,1.0655
2023-01-09,-0.12,2.69,1.1128749999999998
2023-01-10,0.14,2.38,1.1427083333333334
2023-01-11,0.36,2.43,1.2848333333333333
2023-01-12,0.41,2.23,1.1609583333333333
2023-01-13,0.44,2.15,1.2305833333333334
2023-01-14,0.36,1.96,1.193125
2023-01-15,0.19,2.01,1.135375
2023-01-16,0.07,2.1,1.144958333333333
2023-01-17,-0.3,2.22,1.0419999999999998
2023-01-18,-0.45,2.53,1.0185
2023-01-19,-0.62,2.97,1.0322500000000001
2023-01-20,-0.73,3.01,0.9718333333333333
2023-01-21,-0.63,3.09,1.100625
2023-01-22,-0.59,3.27,1.177208333333333
2023-01-23,-0.48,3.07,1.1222916666666665
2023-01-24,-0.05,2.98,1.2347916666666665
2023-01-25,0.1,2.69,1.1917083333333334
2023-01-26,0.24,2.42,1.263875
2023-01-27,0.32,1.99,1.2613333333333332
2023-01-28,0.27,2.11,1.2532916666666667
2023-01-29,0.42,2.22,1.2982916666666666
2023-01-30,0.33,2.33,1.3251666666666668
2023-01-31,0.28,2.61,1.3537500000000005
2023-02-01,0.16,2.76,1.2989583333333334
2023-02-02,-0.01,2.74,1.2619583333333335
2023-02-03,-0.04,2.84,1.2785416666666667
2023-02-04,-0.19,2.81,1.1696666666666666
2023-02-05,-0.12,2.72,1.1569583333333333
2023-02-06,-0.13,2.79,1.2179583333333333
2023-02-07,0,2.66,1.17775
2023-02-08,0.3,2.58,1.265125
2023-02-09,0.32,2.41,1.2215416666666667
2023-02-10,0.25,2.07,1.2109583333333334
2023-02-11,0.51,2.09,1.3769583333333333
2023-02-12,0.47,1.99,1.368125
2023-02-13,0.64,2.46,1.4795416666666665
2023-02-14,0.69,2.75,1.5901666666666667
2023-02-15,0.34,2.8,1.49075
2023-02-16,0.16,2.98,1.414708333333334
2023-02-17,-0.2,3.2,1.337875
2023-02-18,-0.03,3.31,1.4229166666666664
2023-02-19,-0.39,3.42,1.3860416666666662
2023-02-20,-0.23,3.18,1.3159999999999998
2023-02-21,0.06,3.19,1.4075
2023-02-22,-0.04,2.78,1.28025
2023-02-23,-0.13,2.4,1.2614166666666666
2023-02-24,0.09,1.97,1.1726666666666665
2023-02-25,0.09,1.77,1.111375
2023-02-26,0.26,1.85,1.1060833333333335
2023-02-27,0.26,1.83,0.9403333333333334
2023-02-28,0.13,2.03,0.9239166666666667
2023-03-01,0.14,2.15,0.9357083333333333
2023-03-02,-0.06,2.28,0.896
2023-03-03,-0.09,2.12,0.8673749999999999
2023-03-04,-0.14,2.33,0.9861250000000001
2023-03-05,-0.1,2.36,1.0474583333333332
2023-03-06,0.11,2.57,1.2348333333333334
2023-03-07,0.21,2.54,1.2290833333333333
2023-03-08,0.43,2.43,1.352625
2023-03-09,0.35,2.55,1.3955416666666665
2023-03-10,0.03,1.94,1.0854583333333334
2023-03-11,0.13,2.02,1.1702916666666665
2023-03-12,0.03,1.89,1.127
2023-03-13,0.25,2.09,1.0911666666666666
2023-03-14,0.24,2.29,1.1282916666666667
2023-03-15,0.3,2.33,1.0635
2023-03-16,0.09,2.61,1.0357916666666667
2023-03-17,-0.03,2.77,1.085375
2023-03-18,-0.18,2.85,1.090166666666667
2023-03-19,-0.21,2.77,1.0973750000000002
2023-03-20,-0.31,2.84,1.0926249999999997
2023-03-21,-0.28,2.5,1.0539166666666668
2023-03-22,-0.24,2.33,1.123
2023-03-23,-0.34,2.39,1.179875
2023-03-24,-0.26,2.44,1.1593333333333333
